EOV_WKT;Index;WGS84_Y;WGS84_X
"POINT (714351.42357095 228795.498968113)";"721";19.9;47.4
"POINT (714230.31874781 239912.234411943)";"722";19.9;47.5
"POINT (714109.2094217 251029.285756338)";"723";19.9;47.6
"POINT (713988.094857431 262146.686709862)";"724";19.9;47.7
"POINT (713866.974319699 273264.470983811)";"725";19.9;47.8
"POINT (713745.847073057 284382.672292713)";"726";19.9;47.9
"POINT (721899.154877488 228882.551927849)";"743";20;47.4
"POINT (721763.827458905 239999.123974099)";"744";20;47.5
"POINT (721628.494971844 251116.012175394)";"745";20;47.6
"POINT (721493.156594803 262233.250237844)";"746";20;47.7
"POINT (721357.811506138 273350.871870297)";"747";20;47.8
"POINT (721222.458884055 284468.910784811)";"748";20;47.9
"POINT (729446.769006253 228979.261237854)";"765";20.1;47.4
"POINT (729297.219399042 240095.651785843)";"766";20.1;47.5
"POINT (729147.66415574 251212.358771492)";"767";20.1;47.6
"POINT (728998.102368534 262329.415898168)";"768";20.1;47.7
"POINT (728848.533129458 273446.856871975)";"769";20.1;47.8
"POINT (728698.955530376 284564.715402269)";"770";20.1;47.9
"POINT (736994.253658583 229085.626606676)";"788";20.2;47.4
"POINT (736830.482312212 240201.817557797)";"789";20.2;47.5
"POINT (736666.704759805 251318.32525729)";"790";20.2;47.6
"POINT (736502.920007252 262435.183405521)";"791";20.2;47.7
"POINT (736339.127060274 273552.425705587)";"792";20.2;47.8
"POINT (736175.324924406 284670.085863845)";"793";20.2;47.9
"POINT (744541.596537296 229201.647713839)";"811";20.3;47.4
"POINT (744363.603943869 240317.620971751)";"812";20.3;47.5
"POINT (744185.604571912 251433.911316846)";"813";20.3;47.6
"POINT (744007.597341026 262550.552446206)";"814";20.3;47.7
"POINT (743829.581170634 273667.578059658)";"815";20.3;47.8
"POINT (743651.554979953 284785.021860283)";"816";20.3;47.9
"POINT (752088.785346824 229327.324209839)";"834";20.4;47.4
"POINT (751896.572041073 240443.061680683)";"835";20.4;47.5
"POINT (751704.351381523 251559.116605596)";"836";20.4;47.6
"POINT (751512.122201503 262675.52267811)";"837";20.4;47.7
"POINT (751319.883334151 273792.313594507)";"838";20.4;47.8
"POINT (751127.633612377 284909.523054311)";"839";20.4;47.9
"POINT (759635.807793358 229462.65571617)";"858";20.5;47.4
"POINT (759429.374352625 240578.139308764)";"859";20.5;47.5
"POINT (759222.932979831 251693.940750373)";"860";20.5;47.6
"POINT (759016.482422048 262810.093730714)";"861";20.5;47.7
"POINT (758810.021426139 273926.631942243)";"862";20.5;47.8
"POINT (758603.548738729 285043.589080685)";"863";20.5;47.9
"POINT (767182.651584984 229607.641825316)";"883";20.6;47.4
"POINT (766961.998629209 240722.853451366)";"884";20.6;47.5
"POINT (766741.337159895 251838.383349428)";"885";20.6;47.6
"POINT (766520.665837874 262954.26520512)";"886";20.6;47.7
"POINT (766299.983323752 274070.532706816)";"887";20.6;47.8
"POINT (766079.288277879 285187.219546143)";"888";20.6;47.9
"POINT (774729.304431823 229762.282100771)";"909";20.7;47.4
"POINT (774494.432623527 240877.203675072)";"910";20.7;47.5
"POINT (774259.551716779 251992.443972421)";"911";20.7;47.6
"POINT (774024.660286186 263108.03667405)";"912";20.7;47.7
"POINT (773789.756906116 274224.015463973)";"913";20.7;47.8
"POINT (773554.840150658 285340.414029462)";"914";20.7;47.9
"POINT (782275.754046175 229926.576077042)";"934";20.8;47.4
"POINT (782026.664090442 241041.1895177)";"935";20.8;47.5
"POINT (781777.564447687 252156.12216043)";"936";20.8;47.6
"POINT (781528.453606313 263271.407681844)";"937";20.8;47.7
"POINT (781279.330054464 274387.079761303)";"938";20.8;47.8
"POINT (781030.192279989 285503.172081466)";"939";20.8;47.9
